time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	2.31366e-314	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.862916	0.534212	0	0	0	radar	1.39069e-309	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.06768	0.494021	0.481291	-1.73472e-17	-2.77556e-17	lidar	4.12264	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.01795	0.267159	4.71926	-2.6298e-17	-5.132e-17	radar	25.2083	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.42564	0.556027	1.60993	0.0854474	0.0158124	lidar	5.93635	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.5723	0.43175	4.80005	0.517303	0.0999506	radar	1.11794	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	1.94195	0.612313	3.0131	0.176383	0.0380301	lidar	7.46328	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.02949	0.559019	5.09044	0.170446	-0.122709	radar	1.32545	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.45948	0.646942	3.93457	0.0527049	-0.00893164	lidar	4.59503	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.62212	0.6113	5.23061	0.0876264	-0.173998	radar	1.81538	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	2.91658	0.637706	4.28728	-0.00878537	-0.0384222	lidar	0.913162	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.22245	0.522723	5.32896	-0.106215	-0.658573	radar	3.29321	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.61615	0.394356	5.15644	-0.320235	-0.367032	lidar	8.20307	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	3.83555	0.590088	5.42582	8.65314e-06	-0.0586072	radar	3.0755	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.2113	0.481349	5.38438	-0.0588429	0.244113	lidar	2.48114	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.39414	0.630204	5.33589	0.0316677	0.04176	radar	0.943966	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.56718	0.753519	4.81296	0.260871	0.937632	lidar	6.54105	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	4.93622	0.639177	5.16276	0.0194755	-0.00462692	radar	1.91789	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443900000	5.24699	0.719843	5.39438	0.133386	0.369518	lidar	6.87748	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
1477010443950000	5.43631	0.659337	5.30828	0.0356021	0.0375955	radar	1.25852	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
1477010444000000	5.88258	0.729474	5.6646	0.085024	0.168836	lidar	1.65377	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
1477010444050000	5.94776	0.514415	5.17153	-0.0925717	-0.227561	radar	2.08329	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
1477010444100000	6.39203	0.894794	5.58593	0.206705	0.386169	lidar	0.609884	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
1477010444150000	6.46376	0.635013	5.10626	0.00911791	-0.00372098	radar	2.08019	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305
1477010444200000	6.87892	0.832996	5.37454	0.102481	0.111856	lidar	2.24397	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999
1477010444250000	6.98153	0.626308	4.93995	-0.00309543	-0.0276749	radar	2.10501	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269
1477010444300000	7.29492	0.936839	5.10709	0.159733	0.196701	lidar	1.95558	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123
1477010444350000	7.56738	0.691142	5.23973	0.0385876	0.0571327	radar	5.55987	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531
1477010444400000	7.80529	0.851933	5.06547	0.0531312	-0.0308699	lidar	1.79027	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469
1477010444450000	8.08788	0.775475	5.04159	0.0825721	0.117125	radar	2.58123	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915
1477010444500000	8.28375	0.858274	4.99982	0.0374868	-0.0537625	lidar	0.124414	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843
1477010444550000	8.59353	1.05973	5.299	0.239641	0.349304	radar	5.44447	8.45858	1.41118	8.60472	1.06011	5.06537	0.865226
1477010444600000	8.76487	0.967719	4.98071	0.0999342	0.0674897	lidar	0.649643	8.74615	1.04858	8.85775	1.10473	5.05216	0.919037
1477010444650000	9.18586	1.14691	5.35855	0.240429	0.29287	radar	5.97561	9.8809	1.1419	9.1101	1.15208	5.03798	0.974245
1477010444700000	9.25607	1.03468	4.9826	0.118351	0.0884443	lidar	0.0195308	9.25579	1.04913	9.36172	1.20223	5.0228	1.03082
1477010444750000	9.73515	1.35512	5.4273	0.307806	0.349645	radar	2.07672	10.1016	1.52474	9.61255	1.25524	5.00656	1.08873
1477010444800000	9.86465	1.27465	5.32889	0.249208	0.306941	lidar	5.13137	10.0484	1.44598	9.86254	1.31118	4.98922	1.14794
1477010444850000	10.2335	1.61113	5.26531	0.403513	0.467544	radar	2.48737	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.323	1.44027	5.20884	0.305913	0.355901	lidar	0.452052	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.7004	1.80518	5.07517	0.458835	0.516641	radar	1.72529	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.7845	1.52782	5.09007	0.292582	0.26909	lidar	0.702453	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.2377	1.78869	5.10735	0.353976	0.261983	radar	3.28435	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.4004	1.63584	5.39088	0.263501	0.163964	lidar	2.71949	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.7017	1.82643	4.98742	0.307936	0.16055	radar	1.6928	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
